epoch,training_loss,training_acc,test_loss,test_acc
1,1095.7605,0.745,59386.68,0.741
1,777.14734,0.805,58792.156,0.7442
1,1309.2589,0.725,59513.668,0.7436
1,929.9201,0.81,59212.363,0.7415
1,983.5315,0.745,58446.48,0.7476
1,861.7728,0.775,58341.164,0.7484
1,815.83044,0.815,58262.062,0.7501
1,859.62085,0.81,58123.55,0.7483
1,1088.113,0.755,58454.33,0.7398
1,1304.3763,0.735,58626.12,0.746
1,1093.8835,0.745,58103.047,0.7462
1,1123.1223,0.765,58398.082,0.7398
1,794.452,0.775,58062.44,0.7447
1,1043.1987,0.78,59866.176,0.7342
1,1095.115,0.745,57954.477,0.742
1,1078.2307,0.735,57789.47,0.7488
1,931.0903,0.795,57538.984,0.7416
1,834.0602,0.79,58096.723,0.7394
1,1198.384,0.735,58589.35,0.7388
1,1388.5593,0.73,59488.8,0.7372
1,1077.4268,0.73,57905.69,0.739
1,1225.6506,0.715,58643.938,0.7396
1,1069.6687,0.76,57566.965,0.7395
1,1121.8596,0.735,57185.18,0.7428
1,882.72644,0.755,57496.992,0.7346
1,1366.4929,0.715,57717.594,0.7423
1,957.44635,0.775,57281.94,0.745
1,1222.7379,0.715,58691.453,0.7353
1,1052.8416,0.75,56989.742,0.7395
1,934.9764,0.77,56890.082,0.744
1,1312.2314,0.71,58759.832,0.7343
1,995.7691,0.765,58113.355,0.7327
1,946.50397,0.74,56683.754,0.7336
1,778.90375,0.79,57861.316,0.728
1,946.7002,0.755,56449.438,0.7426
1,753.49426,0.82,56281.79,0.7446
1,1038.4637,0.77,57049.59,0.7311
1,804.14734,0.815,56986.723,0.7346
1,962.03174,0.77,56683.973,0.7402
1,788.6959,0.785,57265.566,0.7357
1,1163.023,0.725,55578.65,0.7432
1,1116.026,0.72,57454.95,0.7309
1,1323.7676,0.695,58561.04,0.7268
1,970.54346,0.745,55350.8,0.7345
1,1028.8433,0.755,54438.637,0.7438
1,1099.159,0.775,55220.88,0.7379
1,888.75214,0.77,54995.953,0.734
1,857.62427,0.755,54287.35,0.74
1,1023.2672,0.775,54923.02,0.734
1,895.09314,0.765,54390.242,0.7388
1,1072.1704,0.74,54470.188,0.7408
1,975.9135,0.755,56186.5,0.7274
1,1194.1389,0.74,54571.402,0.7373
1,995.74884,0.745,54825.023,0.731
1,994.0858,0.76,54329.652,0.7349
1,816.0049,0.755,53998.34,0.7366
1,840.018,0.755,53997.984,0.7343
1,1021.5735,0.725,54463.715,0.7363
1,1145.3494,0.725,54450.105,0.7285
1,1029.8,0.75,54808.477,0.7243
1,1316.3013,0.685,53145.434,0.7384
1,978.3965,0.77,53445.793,0.7311
1,946.06934,0.735,53290.27,0.7353
1,911.05945,0.735,52955.883,0.7418
1,962.6095,0.77,54417.473,0.7273
1,1038.7188,0.725,53226.44,0.7428
1,1013.0244,0.7,53781.27,0.7298
1,953.12195,0.76,53506.844,0.7361
1,908.6549,0.765,52831.355,0.7423
1,1434.4766,0.685,53236.066,0.7427
1,1191.8063,0.72,54123.863,0.7354
1,1147.8569,0.73,55225.066,0.7292
1,1097.2953,0.715,53884.02,0.7358
1,1211.8384,0.72,53135.09,0.737
1,936.48865,0.765,52299.242,0.7367
1,880.0531,0.745,52247.637,0.7405
1,870.42206,0.785,53022.6,0.7275
1,1032.8527,0.715,52791.727,0.7302
1,1025.8921,0.72,52795.07,0.7365
1,1104.8088,0.715,52360.04,0.7381
1,1115.4336,0.69,51431.87,0.7409
1,886.9816,0.79,51786.688,0.7365
1,1269.7383,0.69,51785.723,0.735
1,1217.3481,0.705,51518.79,0.7347
1,986.5066,0.745,53151.516,0.7366
1,1028.9495,0.75,51781.414,0.7368
1,1047.4646,0.75,52848.105,0.7393
1,880.4636,0.765,52490.71,0.7292
1,1024.9158,0.72,51511.754,0.7363
1,936.5552,0.765,51430.805,0.7348
1,1109.8864,0.745,52313.297,0.7305
1,928.2913,0.745,51148.89,0.7377
1,857.7442,0.78,50887.484,0.7353
1,947.29517,0.785,53025.87,0.7374
1,805.49506,0.775,53178.598,0.7299
1,778.3629,0.77,51715.023,0.729
1,919.7842,0.745,50605.637,0.7376
1,1110.2875,0.72,51200.96,0.7262
1,904.65076,0.735,50807.28,0.7284
1,1251.6506,0.695,50397.23,0.7365
1,963.4276,0.725,50126.086,0.7381
1,998.90204,0.715,50496.844,0.7368
1,908.1089,0.765,50722.938,0.7359
1,1079.9086,0.735,51217.43,0.7365
1,860.14954,0.75,50357.223,0.7383
1,1195.6472,0.68,50141.54,0.7415
1,862.2218,0.76,50263.902,0.7401
1,923.58673,0.77,49842.03,0.7389
1,901.94653,0.795,50924.223,0.7363
1,734.0082,0.8,50045.258,0.7394
1,1071.1123,0.72,51477.42,0.7231
1,774.70557,0.775,51976.83,0.7272
1,822.3977,0.765,51412.86,0.7316
1,993.55994,0.725,51049.97,0.7269
1,1339.0742,0.67,50039.89,0.7327
1,950.072,0.785,50113.242,0.7357
1,847.4355,0.78,50161.633,0.7323
1,685.51953,0.79,50158.375,0.7243
1,889.4203,0.74,49497.156,0.7348
1,896.3458,0.765,49583.89,0.7309
1,951.8767,0.715,49984.97,0.724
1,1018.16846,0.73,49760.637,0.7274
1,948.86487,0.745,50210.85,0.7248
1,1188.2998,0.72,50346.453,0.717
1,1005.3562,0.73,49816.52,0.7208
1,797.2449,0.755,49138.33,0.7298
1,795.04504,0.76,49574.637,0.7218
1,1115.5181,0.7,49471.758,0.7309
1,922.6274,0.76,48927.305,0.732
1,691.47064,0.795,48728.473,0.7336
1,976.40686,0.73,49551.082,0.7152
1,1059.302,0.695,49050.516,0.7246
1,542.2621,0.765,49870.746,0.7266
1,767.1653,0.755,49179.473,0.7234
1,814.69104,0.775,48861.65,0.7304
1,933.5858,0.755,49357.582,0.7262
1,1032.0221,0.725,48705.836,0.7348
1,812.422,0.765,49451.03,0.7218
1,1007.78394,0.73,48735.04,0.7346
1,1237.8529,0.715,48402.984,0.7373
1,810.2053,0.735,48903.77,0.7273
1,1092.792,0.71,48956.57,0.7338
1,645.9248,0.775,47944.574,0.7418
1,917.8741,0.745,47789.33,0.74
1,820.7501,0.78,47476.38,0.7403
1,626.0667,0.82,47612.418,0.7363
1,828.99927,0.755,47428.812,0.7353
1,928.0088,0.74,47476.44,0.7337
1,871.6173,0.765,47472.203,0.7325
1,979.74384,0.755,48700.95,0.7226
1,1076.9205,0.71,48995.945,0.7262
1,916.0663,0.735,48151.242,0.7312
1,703.80023,0.75,47959.746,0.7329
1,956.07184,0.755,48073.25,0.7286
1,779.68396,0.74,48537.457,0.7276
1,732.0575,0.81,48560.996,0.7207
1,783.7921,0.8,48686.652,0.721
1,824.0526,0.725,48015.918,0.7213
1,823.3895,0.76,47279.848,0.7263
1,764.05475,0.77,47317.266,0.728
1,906.72,0.72,47802.543,0.7252
1,1164.5173,0.69,47744.26,0.7216
1,1024.2592,0.74,47359.1,0.7319
1,1068.9695,0.71,47682.54,0.7196
1,853.6741,0.725,47262.062,0.7249
1,1028.4368,0.74,46621.1,0.731
1,1029.3572,0.72,46277.457,0.7259
1,798.5498,0.79,46109.72,0.7254
1,940.0324,0.685,48939.258,0.7244
1,702.3429,0.79,46078.355,0.728
1,616.02136,0.8,46272.047,0.7299
1,879.2107,0.755,45814.59,0.7304
1,726.50244,0.75,46303.348,0.7247
1,596.9889,0.805,46574.95,0.7281
1,903.8194,0.77,46360.156,0.729
1,1107.188,0.715,46303.562,0.7311
1,674.99054,0.8,46061.7,0.7297
1,944.61285,0.71,46199.812,0.7212
1,844.12854,0.775,47229.336,0.7219
1,888.4508,0.73,46163.805,0.7209
1,901.29865,0.73,46121.14,0.7323
1,907.06165,0.72,45917.406,0.7299
