epoch,training_loss,training_acc,test_loss,test_acc
1,460.5233,0.13,23025.852,0.1
1,460.50937,0.115,23025.855,0.1
1,460.51556,0.1,23025.852,0.1
1,460.5172,0.105,23025.855,0.1
1,460.50323,0.14,23025.855,0.1
1,460.52875,0.08,23025.854,0.1
1,460.5094,0.115,23025.854,0.1
1,460.51456,0.12,23025.854,0.1
1,460.52612,0.09,23025.854,0.1
1,460.50085,0.115,23025.855,0.1
1,460.50793,0.125,23025.857,0.1
1,460.52338,0.115,23025.854,0.1
1,460.52145,0.09,23025.855,0.1
1,460.52856,0.095,23025.852,0.1
1,460.53284,0.09,23025.855,0.1
1,460.5228,0.075,23025.854,0.1
1,460.51138,0.09,23025.855,0.1
1,460.52496,0.105,23025.857,0.1
1,460.51886,0.09,23025.855,0.1
1,460.4928,0.135,23025.854,0.1
1,460.51257,0.115,23025.854,0.1
1,460.53015,0.095,23025.855,0.1
1,460.52826,0.095,23025.852,0.1
1,460.50845,0.1,23025.855,0.1
1,460.508,0.085,23025.857,0.1
1,460.5207,0.105,23025.854,0.1
1,460.49573,0.105,23025.854,0.1
1,460.50888,0.115,23025.855,0.1
1,460.53326,0.095,23025.854,0.1
1,460.55643,0.055,23025.855,0.1
1,460.5594,0.06,23025.854,0.1
1,460.5372,0.055,23025.852,0.1
1,460.52405,0.135,23025.855,0.1
1,460.51965,0.09,23025.854,0.1
1,460.52158,0.09,23025.854,0.1
1,460.50555,0.14,23025.855,0.1
1,460.521,0.125,23025.855,0.1
1,460.5208,0.085,23025.854,0.1
1,460.52307,0.065,23025.854,0.1
1,460.51965,0.095,23025.852,0.1
1,460.53314,0.065,23025.852,0.1
1,460.50854,0.135,23025.854,0.1
1,460.5109,0.13,23025.854,0.1
1,460.5227,0.105,23025.852,0.1
1,460.51276,0.105,23025.852,0.1
1,460.50433,0.135,23025.854,0.1
1,460.50305,0.13,23025.855,0.1
1,460.5152,0.115,23025.852,0.1
1,460.4969,0.125,23025.855,0.1
1,460.5399,0.075,23025.855,0.1
1,460.52896,0.075,23025.854,0.1
1,460.52225,0.075,23025.852,0.1
1,460.49432,0.15,23025.855,0.1
1,460.50653,0.115,23025.855,0.1
1,460.5232,0.095,23025.854,0.1
1,460.5268,0.05,23025.855,0.1
1,460.52155,0.125,23025.854,0.1
1,460.50177,0.12,23025.854,0.1
1,460.52444,0.085,23025.855,0.1
1,460.486,0.15,23025.855,0.1
1,460.50592,0.095,23025.855,0.1
1,460.5125,0.1,23025.855,0.1
1,460.51736,0.095,23025.855,0.1
1,460.529,0.1,23025.855,0.1
1,460.53015,0.06,23025.854,0.1
1,460.53162,0.09,23025.855,0.1
